PMID,Title,Abstract,Authors,Keywords,Publication Year,Journal Title,Publication Type,Grants
33242417,Comprehensive Multi-omics Analysis Reveals Mitochondrial Stress as a Central Biological Hub for Spaceflight Impact.,"Spaceflight is known to impose changes on human physiology with unknown molecular etiologies. To reveal these causes, we used a multi-omics, systems biology analytical approach using biomedical profiles from fifty-nine astronauts and data from NASA's GeneLab derived from hundreds of samples flown in space to determine transcriptomic, proteomic, metabolomic, and epigenetic responses to spaceflight. Overall pathway analyses on the multi-omics datasets showed significant enrichment for mitochondrial processes, as well as innate immunity, chronic inflammation, cell cycle, circadian rhythm, and olfactory functions. Importantly, NASA's Twin Study provided a platform to confirm several of our principal findings. Evidence of altered mitochondrial function and DNA damage was also found in the urine and blood metabolic data compiled from the astronaut cohort and NASA Twin Study data, indicating mitochondrial stress as a consistent phenotype of spaceflight.",da Silveira WA; Fazelinia H; Rosenthal SB; Laiakis EC; Kim MS; Meydan C; Kidane Y; Rathi KS; Smith SM; Stear B; Ying Y; Zhang Y; Foox J; Zanello S; Crucian B; Wang D; Nugent A; Costa HA; Zwart SR; Schrepfer S; Elworth RAL; Sapoval N; Treangen T; MacKay M; Gokhale NS; Horner SM; Singh LN; Wallace DC; Willey JS; Schisler JC; Meller R; McDonald JT; Fisch KM; Hardiman G; Taylor D; Mason CE; Costes SV; Beheshti A,GeneLab; NASA; NASA Twin Study; Rodent Research Missions; lipids; microgravity; mitochondria; space radiation; spaceflight; transcriptomic,2020,Cell,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",R01 CA249054/CA/NCI NIH HHS/United States; R01 MH117406/MH/NIMH NIH HHS/United States; NNX14AH50G/NASA/NASA/United States; R01 AG066710/AG/NIA NIH HHS/United States; UL1 TR001442/TR/NCATS NIH HHS/United States; U54 MD010706/MD/NIMHD NIH HHS/United States; NNX17AB26G/NASA/NASA/United States; P30 CA051008/CA/NCI NIH HHS/United States; U01 DA045300/DA/NIDA NIH HHS/United States
33242416,Fundamental Biological Features of Spaceflight: Advancing the Field to Enable Deep-Space Exploration.,"Research on astronaut health and model organisms have revealed six features of spaceflight biology that guide our current understanding of fundamental molecular changes that occur during space travel. The features include oxidative stress, DNA damage, mitochondrial dysregulation, epigenetic changes (including gene regulation), telomere length alterations, and microbiome shifts. Here we review the known hazards of human spaceflight, how spaceflight affects living systems through these six fundamental features, and the associated health risks of space exploration. We also discuss the essential issues related to the health and safety of astronauts involved in future missions, especially planned long-duration and Martian missions.",Afshinnekoo E; Scott RT; MacKay MJ; Pariset E; Cekanaviciute E; Barker R; Gilroy S; Hassane D; Smith SM; Zwart SR; Nelman-Gonzalez M; Crucian BE; Ponomarev SA; Orlov OI; Shiba D; Muratani M; Yamamoto M; Richards SE; Vaishampayan PA; Meydan C; Foox J; Myrrhe J; Istasse E; Singh N; Venkateswaran K; Keune JA; Ray HE; Basner M; Miller J; Vitaterna MH; Taylor DM; Wallace D; Rubins K; Bailey SM; Grabham P; Costes SV; Mason CE; Beheshti A,DNA damage; aerospace medicine; epigenetic; microbiome; mitochondria; multi-omics; oxidative stress; space biology; spaceflight; telomere,2020,Cell,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Review",R01 CA249054/CA/NCI NIH HHS/United States; R01 MH117406/MH/NIMH NIH HHS/United States; NNX14AH51G/NASA/NASA/United States; NNX14AB02G/NASA/NASA/United States; R01 AI151059/AI/NIAID NIH HHS/United States; 80NSSC19K0434/ImNASA/Intramural NASA/United States
30329036,GeneLab: Omics database for spaceflight experiments.,"MOTIVATION: To curate and organize expensive spaceflight experiments conducted aboard space stations and maximize the scientific return of investment, while democratizing access to vast amounts of spaceflight related omics data generated from several model organisms. RESULTS: The GeneLab Data System (GLDS) is an open access database containing fully coordinated and curated 'omics' (genomics, transcriptomics, proteomics, metabolomics) data, detailed metadata and radiation dosimetry for a variety of model organisms. GLDS is supported by an integrated data system allowing federated search across several public bioinformatics repositories. Archived datasets can be queried using full-text search (e.g. keywords, Boolean and wildcards) and results can be sorted in multifactorial manner using assistive filters. GLDS also provides a collaborative platform built on GenomeSpace for sharing files and analyses with collaborators. It currently houses 172 datasets and supports standard guidelines for submission of datasets, MIAME (for microarray), ENCODE Consortium Guidelines (for RNA-seq) and MIAPE Guidelines (for proteomics). AVAILABILITY AND IMPLEMENTATION: https://genelab.nasa.gov/. employees and is in the public domain in the US.",Ray S; Gebre S; Fogle H; Berrios DC; Tran PB; Galazka JM; Costes SV,,2019,"Bioinformatics (Oxford, England)","Journal Article; Research Support, Non-U.S. Gov't",
36835504,Space Omics and Tissue Response in Astronaut Skeletal Muscle after Short and Long Duration Missions.,"The molecular mechanisms of skeletal muscle adaptation to spaceflight are as yet not fully investigated and well understood. The MUSCLE BIOPSY study analyzed pre and postflight deep calf muscle biopsies (m. soleus) obtained from five male International Space Station (ISS) astronauts. Moderate rates of myofiber atrophy were found in long-duration mission (LDM) astronauts (~180 days in space) performing routine inflight exercise as countermeasure (CM) compared to a short-duration mission (SDM) astronaut (11 days in space, little or no inflight CM) for reference control. Conventional H&E scout histology showed enlarged intramuscular connective tissue gaps between myofiber groups in LDM post vs. preflight. Immunoexpression signals of extracellular matrix (ECM) molecules, collagen 4 and 6, COL4 and 6, and perlecan were reduced while matrix-metalloproteinase, MMP2, biomarker remained unchanged in LDM post vs. preflight suggesting connective tissue remodeling. Large scale proteomics (space omics) identified two canonical protein pathways associated to muscle weakness (necroptosis, GP6 signaling/COL6) in SDM and four key pathways (Fatty acid β-oxidation, integrin-linked kinase ILK, Rho A GTPase RHO, dilated cardiomyopathy signaling) explicitly in LDM. The levels of structural ECM organization proteins COL6A1/A3, fibrillin 1, FBN1, and lumican, LUM, increased in postflight SDM vs. LDM. Proteins from tricarboxylic acid, TCA cycle, mitochondrial respiratory chain, and lipid metabolism mostly recovered in LDM vs. SDM. High levels of calcium signaling proteins, ryanodine receptor 1, RyR1, calsequestrin 1/2, CASQ1/2, annexin A2, ANXA2, and sarco(endo)plasmic reticulum Ca(2+)-ATPase (SERCA1) pump, ATP2A, were signatures of SDM, and decreased levels of oxidative stress peroxiredoxin 1, PRDX1, thioredoxin-dependent peroxide reductase, PRDX3, or superoxide dismutase [Mn] 2, SOD2, signatures of LDM postflight. Results help to better understand the spatiotemporal molecular adaptation of skeletal muscle and provide a large scale database of skeletal muscle from human spaceflight for the better design of effective CM protocols in future human deep space exploration.",Blottner D; Moriggi M; Trautmann G; Hastermann M; Capitanio D; Torretta E; Block K; Rittweger J; Limper U; Gelfi C; Salanova M,protein signaling pathways; proteomics; skeletal muscle; spaceflight; structural proteins,2023,International journal of molecular sciences,Journal Article,50WB0821-1121/Deutsches Zentrum für Luft und Raumfahrt e.V. (DLR)/
35265808,"Space omics research in Europe: Contributions, geographical distribution and ESA member state funding schemes.","The European research community, via European Space Agency (ESA) spaceflight opportunities, has significantly contributed toward our current understanding of spaceflight biology. Recent molecular biology experiments include ""omic"" analysis, which provides a holistic and systems level understanding of the mechanisms underlying phenotypic adaptation. Despite vast interest in, and the immense quantity of biological information gained from space omics research, the knowledge of ESA-related space omics works as a collective remains poorly defined due to the recent exponential application of omics approaches in space and the limited search capabilities of pre-existing records. Thus, a review of such contributions is necessary to clarify and promote the development of space omics among ESA and ESA state members. To address this gap, in this review, we i) identified and summarized omics works led by European researchers, ii) geographically described these omics works, and iii) highlighted potential caveats in complex funding scenarios among ESA member states.",Deane CS; da Silveira WA; Herranz R,Astrobiology; Omics; Space medicine; Space sciences,2022,iScience,Journal Article; Review,MR/T026014/1/MRC_/Medical Research Council/United Kingdom
36126744,Multi-system responses to altered gravity and spaceflight: Insights from Drosophila melanogaster.,"NASA is planning to resume human-crewed lunar missions and lay the foundation for human exploration to Mars. However, our knowledge of the overall effects of long-duration spaceflight on human physiology is limited. During spaceflight, astronauts are exposed to multiple risk factors, including gravitational changes, ionizing radiation, physiological stress, and altered circadian lighting. These factors contribute to pathophysiological responses that target different organ systems in the body. This review discusses the advancements in gravitational biology using Drosophila melanogaster, one of the first organisms to be launched into space. As a well-established spaceflight model organism, fruit flies have yielded significant information, including neurobehavioral, aging, immune, cardiovascular, developmental, and multi-omics changes across tissues and developmental stages, as detailed in this review.",Iyer J; Mhatre SD; Gilbert R; Bhattacharya S,Drosophila melanogaster; Gravity; Model organism; Spaceflight,2022,Neuroscience and biobehavioral reviews,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.; Review",
36277820,Routine omics collection is a golden opportunity for European human research in space and analog environments.,"Widespread generation and analysis of omics data have revolutionized molecular medicine on Earth, yet its power to yield new mechanistic insights and improve occupational health during spaceflight is still to be fully realized in humans. Nevertheless, rapid technological advancements and ever-regular spaceflight programs mean that longitudinal, standardized, and cost-effective collection of human space omics data are firmly within reach. Here, we consider the practicality and scientific return of different sampling methods and omic types in the context of human spaceflight. We also appraise ethical and legal considerations pertinent to omics data derived from European astronauts and spaceflight participants (SFPs). Ultimately, we propose that a routine omics collection program in spaceflight and analog environments presents a golden opportunity. Unlocking this bright future of artificial intelligence (AI)-driven analyses and personalized medicine approaches will require further investigation into best practices, including policy design and standardization of omics data, metadata, and sampling methods.",Cope H; Willis CRG; MacKay MJ; Rutter LA; Toh LS; Williams PM; Herranz R; Borg J; Bezdan D; Giacomello S; Muratani M; Mason CE; Etheridge T; Szewczyk NJ,European Space Agency; GDPR; International Space Station; artificial intelligence; astronaut ethics; biobank; commercial spaceflight; longitudinal monitoring; multiomics; personalized medicine,2022,"Patterns (New York, N.Y.)",Journal Article; Review,
38191486,Altered quorum sensing and physiology of Staphylococcus aureus during spaceflight detected by multi-omics data analysis.,"Staphylococcus aureus colonizes the nares of approximately 30% of humans, a risk factor for opportunistic infections. To gain insight into S. aureus virulence potential in the spaceflight environment, we analyzed RNA-Seq, cellular proteomics, and metabolomics data from the ""Biological Research in Canisters-23"" (BRIC-23) GeneLab spaceflight experiment, a mission designed to measure the response of S. aureus to growth in low earth orbit on the international space station. This experiment used Biological Research in Canisters-Petri Dish Fixation Units (BRIC-PDFUs) to grow asynchronous ground control and spaceflight cultures of S. aureus for 48 h. RNAIII, the effector of the Accessory Gene Regulator (Agr) quorum sensing system, was the most highly upregulated gene transcript in spaceflight relative to ground controls. The agr operon gene transcripts were also highly upregulated during spaceflight, followed by genes encoding phenol-soluble modulins and secreted proteases, which are positively regulated by Agr. Upregulated spaceflight genes/proteins also had functions related to urease activity, type VII-like Ess secretion, and copper transport. We also performed secretome analysis of BRIC-23 culture supernatants, which revealed that spaceflight samples had increased abundance of secreted virulence factors, including Agr-regulated proteases (SspA, SspB), staphylococcal nuclease (Nuc), and EsxA (secreted by the Ess system). These data also indicated that S. aureus metabolism is altered in spaceflight conditions relative to the ground controls. Collectively, these data suggest that S. aureus experiences increased quorum sensing and altered expression of virulence factors in response to the spaceflight environment that may impact its pathogenic potential.",Hauserman MR; Ferraro MJ; Carroll RK; Rice KC,,2024,NPJ microgravity,Journal Article,"80NSSC19K0139/NASA | Kennedy Space Center (KSC, Inc.)/; 80NSSC21K0601/NASA | Kennedy Space Center (KSC, Inc.)/"
37636054,Enhancing European capabilities for application of multi-omics studies in biology and biomedicine space research.,"Following on from the NASA twins' study, there has been a tremendous interest in the use of omics techniques in spaceflight. Individual space agencies, NASA's GeneLab, JAXA's ibSLS, and the ESA-funded Space Omics Topical Team and the International Standards for Space Omics Processing (ISSOP) groups have established several initiatives to support this growth. Here, we present recommendations from the Space Omics Topical Team to promote standard application of space omics in Europe. We focus on four main themes: i) continued participation in and coordination with international omics endeavors, ii) strengthening of the European space omics infrastructure including workforce and facilities, iii) capitalizing on the emerging opportunities in the commercial space sector, and iv) capitalizing on the emerging opportunities in human subjects research.",Manzano A; Weging S; Bezdan D; Borg J; Cahill T; Carnero-Diaz E; Cope H; Deane CS; Etheridge T; Giacomello S; Hardiman G; Leys N; Madrigal P; Mastroleo F; Medina FJ; Mieczkowski J; Fernandez-Rojo MA; Siew K; Szewczyk NJ; Walsh SB; da Silveira WA; Herranz R,Genomics; Proteomics; Space medicine; Space sciences,2023,iScience,Journal Article; Review,MR/T026014/1/MRC_/Medical Research Council/United Kingdom
37456835,Caenorhabditis elegans in microgravity: An omics perspective.,"The application of omics to study Caenorhabditis elegans (C. elegans) in the context of spaceflight is increasing, illuminating the wide-ranging biological impacts of spaceflight on physiology. In this review, we highlight the application of omics, including transcriptomics, genomics, proteomics, multi-omics, and integrated omics in the study of spaceflown C. elegans, and discuss the impact, use, and future direction of this branch of research. We highlight the variety of molecular alterations that occur in response to spaceflight, most notably changes in metabolic and neuromuscular gene regulation. These transcriptional features are reproducible and evident across many spaceflown species (e.g., mice and astronauts), supporting the use of C. elegans as a model organism to study spaceflight physiology with translational capital. Integrating tissue-specific, spatial, and multi-omics approaches, which quantitatively link molecular responses to phenotypic adaptations, will facilitate the identification of candidate regulatory molecules for therapeutic intervention and thus represents the next frontiers in C. elegans space omics research.",Scott A; Willis CRG; Muratani M; Higashitani A; Etheridge T; Szewczyk NJ; Deane CS,Model organism; Omics; Space sciences,2023,iScience,Journal Article; Review,
